algorithm,batch,build,candidates,count,dataset,distcomps,epsilon,indexsize,k-nn,largeepsilon,parameters,qps,queriessize,rel
faiss-ivf,False,2.7694613933563232,10.0,10,glove-100-angular,951777.776,0.99979,625816.0,0.9992599999999999,1.0,"FaissIVF(n_list=64, n_probe=50)",20.548860395084223,30455.022223505403,1.0000616831350928
faiss-ivf,False,568.9988639354706,10.0,10,glove-100-angular,22571.7339,0.89635,655728.0,0.85542,0.99986,"FaissIVF(n_list=8192, n_probe=100)",776.3976379749174,844.5775308002472,1.010800598144873
faiss-ivf,False,24.806705474853516,10.0,10,glove-100-angular,13288.7886,0.80271,641968.0,0.7584299999999999,0.9937799999999999,"FaissIVF(n_list=1024, n_probe=10)",1238.681570129206,518.2671765537262,1.0237699816522792
faiss-ivf,False,3.258103609085083,10.0,10,glove-100-angular,458453.8901,0.9963,609968.0,0.9873799999999999,1.0,"FaissIVF(n_list=128, n_probe=50)",43.304841236377754,14085.445935952379,1.0009608168243185
faiss-ivf,False,5.086498737335205,10.0,10,glove-100-angular,24887.922,0.80511,632292.0,0.7621,0.99054,"FaissIVF(n_list=256, n_probe=5)",747.6745468478541,845.6781131117821,1.0245440236419359
faiss-ivf,False,2.4154410362243652,10.0,10,glove-100-angular,1183546.0,1.0,609356.0,1.0,1.0,"FaissIVF(n_list=32, n_probe=50)",16.596078381321185,36716.86684041138,0.9999999999547541
faiss-ivf,False,5.086498737335205,10.0,10,glove-100-angular,448367.1071,0.99787,632292.0,0.99168,1.0,"FaissIVF(n_list=256, n_probe=100)",43.90191853713131,14402.37741467314,1.0006682218456864
faiss-ivf,False,2.4154410362243652,10.0,10,glove-100-angular,395743.1182,0.98328,609356.0,0.96234,0.99975,"FaissIVF(n_list=32, n_probe=10)",49.52805434746255,12303.249300388052,1.0030762680860659
faiss-ivf,False,66.28255486488342,10.0,10,glove-100-angular,8223.5962,0.7618400000000001,648248.0,0.71874,0.98841,"FaissIVF(n_list=2048, n_probe=10)",2612.197392575719,248.1619504875183,1.0289699678709372
faiss-ivf,False,2.7694613933563232,10.0,10,glove-100-angular,20323.1239,0.5976,625816.0,0.5564600000000001,0.9021000000000001,"FaissIVF(n_list=64, n_probe=1)",911.8784055450711,686.2932559806824,1.0645857563140348
faiss-ivf,False,9.430783748626709,10.0,10,glove-100-angular,12958.7184,0.76131,636680.0,0.71804,0.98403,"FaissIVF(n_list=512, n_probe=5)",1308.3362930450903,486.63329404258724,1.0303324941476284
faiss-ivf,False,9.430783748626709,10.0,10,glove-100-angular,437625.3795,0.9985200000000001,636680.0,0.99359,1.0,"FaissIVF(n_list=512, n_probe=200)",43.56090666649745,14615.857398800848,1.0004757780892808
faiss-ivf,False,3.258103609085083,10.0,10,glove-100-angular,930088.6527,0.9998799999999999,609968.0,0.9995100000000001,1.0,"FaissIVF(n_list=128, n_probe=100)",21.353431166499313,28565.338996055983,1.0000408498591726
faiss-ivf,False,2.4154410362243652,10.0,10,glove-100-angular,41753.7838,0.65706,609356.0,0.61566,0.9206,"FaissIVF(n_list=32, n_probe=1)",452.64444934899626,1346.2133488577842,1.0545438101890499
faiss-ivf,False,2.7694613933563232,10.0,10,glove-100-angular,1183578.0,1.0,625816.0,1.0,1.0,"FaissIVF(n_list=64, n_probe=200)",17.381033543296155,36005.68392213802,0.9999999999547541
faiss-ivf,False,5.086498737335205,10.0,10,glove-100-angular,5589.1831,0.51494,632292.0,0.47901999999999995,0.8404299999999999,"FaissIVF(n_list=256, n_probe=1)",2692.6575958801345,234.82079599256514,1.0829636405274907
faiss-ivf,False,246.02279615402222,10.0,10,glove-100-angular,31785.594,0.92415,654676.0,0.88574,0.99993,"FaissIVF(n_list=4096, n_probe=100)",541.1612662260973,1209.7613795708658,1.0082634194729008
faiss-ivf,False,2.7694613933563232,10.0,10,glove-100-angular,198054.5649,0.9586,625816.0,0.92749,0.9994099999999999,"FaissIVF(n_list=64, n_probe=10)",99.22801515320094,6306.847910177231,1.005893540346703
faiss-ivf,False,24.806705474853516,10.0,10,glove-100-angular,2363.8778,0.43533999999999995,641968.0,0.40465999999999996,0.7622099999999999,"FaissIVF(n_list=1024, n_probe=1)",6442.399157418613,99.64734942893982,1.1033234954460327
